甲状腺右叶多发低至无回声结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
L4/5椎间盘轻度膨隆	腰椎间盘膨出
甲状腺左叶低回声结节伴钙化,性质待定	甲状腺结节
C5/6椎间盘突出(中央型),继发椎管轻度狭窄	颈椎间盘突出
左肺下叶微小结节,炎性病灶可能	肺结节
颈椎生理曲度变直,C3/4、C5/6椎间盘突出	颈椎间盘突出
血压结论血压低	血压低
右肺下叶外侧底段慢性炎症	肺慢性炎症
附件双侧附件区增厚	附件增厚
甲状腺弥漫性肿大,实质回声增粗	甲状腺回声增粗
肝内多发小类圆形异常信号,性质考虑为多发小血管瘤	肝血管瘤
甲状腺右叶低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右肺中叶内侧段慢性炎症	肺慢性炎症
子宫增大子宫如1个多月妊娠	子宫增大
甲状腺弥漫性病变伴左侧叶近峡部可疑低回声结节,桥本氏甲状腺炎？	桥本甲状腺结节？
双侧额叶小缺血灶	脑缺血灶
右肝多发胆管结石	胆管结石
左、右肝间胆管结石	胆管结石
甲状腺多发等回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
胆囊附壁强回声,考虑胆囊壁间结石可能	胆囊胆固醇结晶
双肺结节	肺结节
双附件右侧附件区触及一肿物约6.0cm×6.0cm大小、质软、无压痛,左侧附件增厚、无压痛	附件区触及肿物
尿晶体增高	尿晶体增高
短阵房性心动过速	房性心动过速
皮肤双上肢散在红色鳞屑样皮癣	癣
右枕部皮下脂肪瘤	皮下脂肪瘤
左侧乳腺腺体大部分切除术后,残余左侧乳腺局部导管扩张	乳腺导管扩张
甲状腺左侧叶切除术后,甲状腺右侧叶多发实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺右叶多发囊实性结节,大者结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
生长发育评价轻度肥胖	肥胖
左肺下叶后基底段少许支气管扩张	支气管扩张
甲状腺右叶靠近峡部低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
甲状腺多发低回声结节(其一伴钙化)	甲状腺结节
鼻鼻息肉	鼻息肉
甲状腺右叶结节伴粗大钙化,BI-RADS3类	甲状腺结节 TI-RADS 3类
左侧颈部多发淋巴结可见	颈部淋巴结可见
左眼上睑倒睫	倒睫
右侧乳腺低回声结节,考虑脂肪嵌入	乳腺结节
